ID,category,file_name,location,include,archive_date,destroy_date,owner,notes
1,Escrow,Bethel Commons,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
2,Escrow,Bantam Lane (MHT) - Peter Alecxih Jr.,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
3,Escrow,Autohouse Lancaster (MHT),"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
4,Escrow Complete,Armstrong World Industries - F & M Utility Corridor (MHT),"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",19-May-10,1-Jan-80,Adm Asst,
5,Escrow,Arbors at Spring Valley,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
6,Escrow,Apria Healthcare Facility (Donnerville Rd.),"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
7,Escrow Complete,Al Hamilton Family Ltd. - Parnership No. 2,"Admin Building,Vault,Completed & Closed,3","Agreements, Bound Manual, Correspondence, Invoices, Permits",23-Mar-09,1-Jan-80,Adm Asst,
8,Escrow Complete,Abel Drive Lot #8 - Office Bldg.,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",23-Mar-09,1-Jan-80,Adm Asst,
9,Escrow Complete,Abel Drive Motel,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",23-Mar-09,1-Jan-80,Adm Asst,
10,Escrow Complete,A & S Realty & Investment - 3515 Columbia Ave,"Admin Building,Vault,Completed & Closed,1","Correspondence, Folder, Invoices, Plans",23-Mar-09,1-Jan-80,Adm Asst,
11,Escrow Complete,"Buckley Residence (1947 Linden Street, E. Petersburg)","Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Plans",5-Mar-07,1-Jan-80,Adm Asst,
12,Escrow,Bruster&#039s Ice Cream Shop,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
13,Escrow Complete,"Brubaker, Henry A. - Subdivision - 3 Lots","Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Legal, Permits, Rights of way",23-Mar-09,1-Jan-80,Adm Asst,
14,Escrow,Broomell Residence - Spring Valley Rd.,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
15,Escrow Complete,"1614 Brookhave Dr. (MHT) (CL-68, Hogan Residential)","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",27-Aug-07,1-Jan-80,Adm Asst,
16,Escrow Complete,"Brod, Roy - Lot-70 Valley Rd (MHT)","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",19-May-10,1-Jan-80,Adm Asst,
17,Escrow,Brighton - Commercial Properties (MHT),"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
18,Escrow,"Brethren Village - Fieldcrest Cottages, Phase III (MHT)","Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
19,Escrow,Boshnaugle Lots Subdivision - 202 Sylvan Retreat Rd.,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
20,Escrow Complete,Blossom Hill Mennonite Church Additions (MHT),"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",19-May-10,1-Jan-80,Adm Asst,
21,Escrow Complete,Bloomfield Village (MHT),"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",19-May-10,1-Jan-80,Adm Asst,
22,Escrow Complete,Blackford Development (E. Hemp. Twp.),"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",19-May-10,1-Jan-80,Adm Asst,
23,Escrow,Binkley & Ober - 1501 Graystone Rd.,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
24,Escrow Complete,Cibo Pizza & Grill (MHT),"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",5-Mar-07,1-Jan-80,Adm Asst,
25,Escrow Complete,"615 Church St., Landisville (Buckwalter, Ed)","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",27-Aug-07,1-Jan-80,Adm Asst,
26,Escrow Complete,Chili&#039s Restaurant (MHT) - Rt. 72 & Granite Run Dr.,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",27-Aug-07,1-Jan-80,Adm Asst,
27,Escrow,Chatsworth (Sherman Tract),"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
28,Escrow,"Charles, Dave - 3878 Columbia Ave. Subdivision","Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
29,Escrow,Centerville Middle School - Additions and Renovations,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
30,Escrow,Celebrate Life Christian Church - Kissel Hill Commons (MHT),"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
31,Escrow Complete,"Cedar Chase, W. Hemp.","Admin Building,Vault,Completed & Closed,2","Agreements, Correspondence, Deeds/Titles, Invoices, Permits, Rights of way",23-Mar-09,1-Jan-80,Adm Asst,
32,Escrow,Carrington Subdivision (MHT) 2 Lots,"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
33,Escrow Complete,Carrabba&#039s (North Pointe Blvd.),"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",27-Aug-07,1-Jan-80,Adm Asst,
34,Escrow,Calvary Church Expansion (MHT),"Admin Building,General Office Area 022,,1",,1-Jan-80,1-Jan-80,Adm Asst,
35,Capital Projects,Blue Rock Pump Station - Alternatives Evaluation,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
36,Capital Projects,Blue Rock Mill Stabilization - Bulldog Construction,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
37,Capital Projects,Blue Rock Pump Station - Developers Agreement Project,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
38,Capital Projects,Blue Rock Pump Station - Rettew Associates,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
39,Capital Projects,"Blue Rock Interceptor TV Project - Jet Vac Services, Inc.","Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
40,Capital Projects,Blue Rok Mill Stone Mason Rest. - Jones Masonry,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
41,Capital Projects,Blue Rock Mill Stabilization,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
42,Capital Projects,"Biosolids Quality, Recordkeeping Land Application Oversight - Material Matters, Inc.","Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
43,Capital Projects,Bausman Pump Station - Wetwell Lining,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
44,Capital Projects,Manheim Twp. Act 537 Plan,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
45,Capital Projects,Regional Act 537 Plan,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
46,Capital Projects,Eden Road Pump Station Upgrade & Expansion - RK&K,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
47,Capital Projects,Blue Rock Pump Station - Alternatives Evaluation,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
