Name, SRF, LOCA, ROC, RFA
"Sandlewood Townhomes (TEST)","2006-06-15","1990-01-01","1990-01-01","11,000"
"Commerce Bank - Manheim Pike","2005-12-06","1990-01-01","1990-01-01",
"Penn Cinema","2005-07-13","2005-07-27","2005-08-29","7520"
"Arbors at Spring Valley","2005-05-06","2005-05-06","2006-02-02","3500.00"
"Kissinger Subdivision","2006-05-01","2006-05-22","2006-05-08","200"
"Carrington Subdivision","2005-11-17","2005-11-20","2006-01-17","1100.00"
"Diller Tract","2005-12-22","2006-01-09","2006-05-08","1200.00"
"Worthington (Rockview) Subdivision - Residential","2006-04-25","2006-08-11","2006-08-28","26100.00"
"Chatsworth","2006-04-19","2006-05-09","2007-02-26","3800.00"
"Stone Mill Estates (Bridle Estates)","2005-04-04","2005-04-29","2006-03-31","4800"
"Manor Oaks Lot 146","2006-02-15","2006-02-24","2008-05-22","3000"
"Eagles View 1B","1990-01-01","1990-01-01","1990-01-01",
"Wetherburn Commons","2002-12-04","2004-07-09","1990-01-01",
"Southern Village Phase 1","2002-05-20","2002-05-20","1990-01-01",
"SIM Properites","2006-01-12","1990-01-01","2006-02-17","99.96"
"Winchelsea (Hynicka Tract)","2006-04-19","2006-05-12","2007-02-26","2900.00"
"Al Hamiltion Family LP 2","2006-03-27","2006-04-04","2006-10-09","100"
"Timson Place","2005-06-30","2005-07-07","2007-03-01","5300.00"
"D.A.D. Enterprises, Inc.","2004-01-28","2004-01-28","1990-01-01",
"Abel Drive Lot 8   (3912)","2006-03-23","2006-04-05","2006-06-16","3049.20"
"Brethren Villiage- Village Garden Apartments II","2004-08-25","2004-08-31","2005-10-05","9600"
"Fruitville Business Park Subdivision","2006-05-17","2006-05-23","2006-05-31","672"
"Parkfield - Phase 1","2001-04-30","2003-04-28","1990-01-01",
"Mews at Homestead","1990-01-01","1990-01-01","1990-01-01",
"Village Grande @ Millers Run","1990-01-01","1990-01-01","2006-04-24","11000.00"
"Brighton Commercial","1990-01-01","1990-01-01","1990-01-01",
"Penns Crossing","2004-03-04","2004-03-23","1990-01-01",
"Farm on Quarry Road","2004-08-31","2004-09-07","1990-01-01",
"Chaddsford Estates","1990-01-01","1990-01-01","1990-01-01",
"Millstone Village (Hershey Mill East)","2004-06-24","2004-07-01","2006-04-28","5200.00"
"Manor Heights","2004-12-05","2004-12-16","1990-01-01",
"Landis Estates","2004-08-13","2004-09-07","1990-01-01",
"Porter Tract (Meadow Run)","2002-12-04","2002-12-09","1990-01-01",
"Windemere Place","1990-01-01","1990-01-01","1990-01-01",
"Woods Edge","1990-01-01","1990-01-01","1990-01-01",
"Twin Oaks Hollow","2004-04-01","2003-07-23","1990-01-01",
"Windsor Court","1990-01-01","1990-01-01","1990-01-01",
"Sunset Ridge 1","1990-01-01","1990-01-01","2006-04-24","1100.00"
"Rosewood",NULL,NULL,NULL,
"Manor Oaks Remaining Lands Section 3","2005-05-06","2006-05-27","1990-01-01",
"Westwood Green","1990-01-01","2003-10-01","1990-01-01",
"Union Nation Bank- Gold Cafe","1990-01-01","1990-01-01","1990-01-01",
"DH Funk Lot 1","1990-01-01","1990-01-01","1990-01-01",
"Woods Edge Villas at Sutherland","1990-01-01","1990-01-01","1990-01-01",
"Rental Service Corporation","2005-04-06","2005-06-07","2005-11-07",
"Brethren Village-Fieldcrest Cottages Phase III","2006-02-14","2006-02-24","2006-03-20","5400"
"Stonemill Estates","2005-02-18","1990-01-01","2006-05-01","32,000"
"Eastland Land Development Subdivision","2005-04-21","2005-05-27","2006-05-22","700"
"Del Boca Vista","2006-05-24","1990-01-01","1990-01-01",
"Manor Blvd. Subdivision","2004-11-24","2004-11-29","2006-04-21","1000"
"Knight, Bernice","2005-07-12","2005-07-26","1990-01-01",
"Penn Manor Comet Field","2004-01-23","2004-02-25","1990-01-01",
"Noll Drive Associates","2005-09-21","2005-09-21","1990-01-01",
