Name, FI, ER, PCC
"Sandlewood Townhomes (TEST)","1990-01-01","1990-01-01","1990-01-01"
"Commerce Bank - Manheim Pike","2007-03-15","2012-04-18","2012-05-02"
"Penn Cinema","2006-10-31","2010-05-10","2010-05-14"
"Arbors at Spring Valley","2006-11-17","2011-08-02","2011-08-02"
"Kissinger Subdivision","1990-01-01","2011-05-10","2011-05-10"
"Carrington Subdivision","2007-07-11","2011-08-02","2011-08-02"
"Diller Tract","1990-01-01","2010-05-10","2010-05-14"
"Worthington (Rockview) Subdivision - Residential","1990-01-01","1990-01-01","1990-01-01"
"Chatsworth","2008-06-05","2010-04-23","2010-04-26"
"Stone Mill Estates (Bridle Estates)","2007-11-16","2014-05-29","2014-05-29"
"Manor Oaks Lot 146","2006-06-15","2013-03-15","2013-03-15"
"Eagles View 1B","2001-09-19","2012-08-31","2012-08-31"
"Wetherburn Commons","1990-01-01","1990-01-01","1990-01-01"
"Southern Village Phase 1","2006-05-23","2013-03-15","2013-03-15"
"SIM Properites","1990-01-01","2014-05-29","2014-05-29"
"Winchelsea (Hynicka Tract)","2007-11-27","2010-04-23","2010-04-26"
"Al Hamiltion Family LP 2","1990-01-01","1990-01-01","1990-01-01"
"Timson Place","2007-09-17","2010-05-19","2010-05-19"
"D.A.D. Enterprises, Inc.","1990-01-01","1990-01-01","1990-01-01"
"Abel Drive Lot 8   (3912)","1990-01-01","1990-01-01","1990-01-01"
"Brethren Villiage- Village Garden Apartments II","1990-01-01","1990-01-01","1990-01-01"
"Fruitville Business Park Subdivision","1990-01-01","1990-01-01","1990-01-01"
"Parkfield - Phase 1","1990-01-01","2013-03-15","2013-03-15"
"Mews at Homestead","1990-01-01","1990-01-01","1990-01-01"
"Village Grande @ Millers Run","2007-09-10","2013-03-15","2013-03-15"
"Brighton Commercial","2005-03-08","2011-08-02","2011-08-02"
"Penns Crossing","2005-08-03","2011-06-03","2011-06-03"
"Farm on Quarry Road","1990-01-01","1990-01-01","1990-01-01"
"Chaddsford Estates","1990-01-01","1990-01-01","1990-01-01"
"Millstone Village (Hershey Mill East)","1990-01-01","2014-05-29","2014-05-29"
"Manor Heights","2006-02-20","2013-03-15","2013-03-15"
"Landis Estates","1990-01-01","2014-05-29","2014-05-29"
"Porter Tract (Meadow Run)","2005-07-25","2011-06-03","2011-06-03"
"Windemere Place","1990-01-01","1990-01-01","1990-01-01"
"Woods Edge","1990-01-01","1990-01-01","1990-01-01"
"Twin Oaks Hollow","1990-01-01","1990-01-01","1990-01-01"
"Windsor Court","1990-01-01","1990-01-01","1990-01-01"
"Sunset Ridge 1","1990-01-01","1990-01-01","1990-01-01"
"Rosewood",NULL,NULL,NULL
"Manor Oaks Remaining Lands Section 3","1990-01-01","2013-03-15","2013-03-15"
"Westwood Green","2005-02-28","2014-05-29","2014-05-29"
"Union Nation Bank- Gold Cafe","1990-01-01","2014-05-29","2014-05-29"
"DH Funk Lot 1","1990-01-01","1990-01-01","1990-01-01"
"Woods Edge Villas at Sutherland","1990-01-01","2014-05-29","2014-05-29"
"Rental Service Corporation","2006-07-31","2011-06-03","2011-06-03"
"Brethren Village-Fieldcrest Cottages Phase III","2006-07-27","2012-04-18","2012-05-02"
"Stonemill Estates","1990-01-01","2014-05-29","2014-05-29"
"Eastland Land Development Subdivision","1990-01-01","1990-01-01","1990-01-01"
"Del Boca Vista","1990-01-01","1990-01-01","1990-01-01"
"Manor Blvd. Subdivision","1990-01-01","2011-06-03","2011-06-03"
"Knight, Bernice","1990-01-01","2014-05-29","2014-05-29"
"Penn Manor Comet Field","2006-08-28","2011-06-03","2011-06-03"
"Noll Drive Associates","1990-01-01","2014-05-29","2014-05-29"
"Bantam Lane","2008-01-30","2011-08-02","2011-08-02"
"Kline&#039s Services, Inc. - Residual Bldg.","1990-01-01","2010-03-18","2010-03-18"
"Page, Dave & Cindy","1990-01-01","2011-06-03","2011-06-03"
