Name, ACP, CSR, CPN, CPD, ROWD, SDA, Copies, Copydate, HOP_APP, HOP_Permit, HOP_EXP
"Sandlewood Townhomes (TEST)","2006-05-25","1990-01-01","561516","1990-01-01","1990-01-01","1990-01-01",NULL,NULL,NULL,,NULL
"Commerce Bank - Manheim Pike","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Penn Cinema","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","2006-06-08",NULL,"1990-01-01",NULL,,"1900-01-02"
"Arbors at Spring Valley","2006-06-27","2006-06-12","199","2006-06-27","2006-06-22","2006-06-15",NULL,"1990-01-01",NULL,,"1900-01-02"
"Kissinger Subdivision","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Carrington Subdivision","2006-09-28","2006-09-22","201","2006-10-02","2006-07-17","2006-08-08",NULL,"1990-01-01",NULL,,"1900-01-02"
"Diller Tract","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Worthington (Rockview) Subdivision - Residential","2008-07-01","1990-01-01","218","2008-09-05","2008-06-30","2008-09-30","2","1990-01-01","196676","08069479","2011-02-01"
"Chatsworth","2008-01-15","2008-01-15","214","2008-01-29","1990-01-01","2008-01-17","2","2008-01-16",NULL,,"1900-01-02"
"Stone Mill Estates (Bridle Estates)","2006-10-17","2006-06-26","211","2007-10-01","1990-01-01","2007-09-27","2","2006-06-29",NULL,,"1900-01-02"
"Manor Oaks Lot 146","2006-09-11","2006-09-11",NULL,"1990-01-01","2007-05-02","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Eagles View 1B","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Wetherburn Commons","2006-11-16","1990-01-01","202","2006-11-30","2006-11-06","2006-08-08",NULL,"1990-01-01",NULL,,"1900-01-02"
"Southern Village Phase 1","2005-07-11","2005-07-26","183","2005-07-11","1990-01-01","2005-06-28",NULL,"1990-01-01",NULL,,"1900-01-02"
"SIM Properites","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Winchelsea (Hynicka Tract)","2007-08-01","2007-06-28","210","2007-08-01","2007-07-05","2007-07-09","2","2008-01-16",NULL,,"1900-01-02"
"Al Hamiltion Family LP 2","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Timson Place","2007-04-04","2007-03-12","206","2007-04-10","1990-01-01","2007-03-27","2","1990-01-01",NULL,,"1900-01-02"
"D.A.D. Enterprises, Inc.","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Abel Drive Lot 8   (3912)","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Brethren Villiage- Village Garden Apartments II","2006-04-13","2006-01-20","196","2006-04-13","1990-01-01","2006-06-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Fruitville Business Park Subdivision","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Parkfield - Phase 1","2003-10-23","2003-11-06","173","2003-12-01","2006-12-21","2003-10-27",NULL,"1990-01-01",NULL,,"1900-01-02"
"Mews at Homestead","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Village Grande @ Millers Run","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","2006-07-12",NULL,"1990-01-01",NULL,,"1900-01-02"
"Brighton Commercial","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Penns Crossing","2005-01-24","1990-01-01","179","1990-01-01","2005-02-22","2005-02-02",NULL,"1990-01-01",NULL,,"1900-01-02"
"Farm on Quarry Road","2005-10-05","2005-09-22","191","2005-10-05","2005-09-22","2005-09-22",NULL,"1990-01-01",NULL,,"1900-01-02"
"Chaddsford Estates","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,NULL,NULL,,NULL
"Millstone Village (Hershey Mill East)","2005-08-09","2005-06-20","184","2005-08-09","1990-01-01","2005-07-11",NULL,"1990-01-01",NULL,,"1900-01-02"
"Manor Heights","2005-09-29","2005-08-12","189","2005-09-20","2005-09-20","2005-08-29","2","2005-08-15",NULL,,"1900-01-02"
"Landis Estates","2005-08-25","1990-01-01","190","2005-09-29","1990-01-01","2005-08-26",NULL,"1990-01-01",NULL,,"1900-01-02"
"Porter Tract (Meadow Run)","2005-05-23","1990-01-01","151","1990-01-01","1990-01-01","2005-05-20",NULL,"1990-01-01",NULL,,"1900-01-02"
"Windemere Place","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Woods Edge","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Twin Oaks Hollow","1990-01-01","1990-01-01",NULL,"1990-01-01","2004-12-22","2005-02-24",NULL,"1990-01-01",NULL,,"1900-01-02"
"Windsor Court","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Sunset Ridge 1","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Rosewood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL
"Manor Oaks Remaining Lands Section 3","2005-12-22","1990-01-01","192","2006-01-27","1990-01-01","2006-01-19",NULL,"1990-01-01",NULL,,"1900-01-02"
"Westwood Green","2004-03-09","1990-01-01",NULL,"1990-01-01","1990-01-01","2004-02-16","3","1990-01-01",NULL,,"1900-01-02"
"Union Nation Bank- Gold Cafe","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"DH Funk Lot 1","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Woods Edge Villas at Sutherland","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Rental Service Corporation","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Brethren Village-Fieldcrest Cottages Phase III","1990-01-01","2006-06-15",NULL,"1990-01-01","1990-01-01","2006-06-15",NULL,"1990-01-01",NULL,,"1900-01-02"
"Stonemill Estates","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Eastland Land Development Subdivision","2006-02-08","2006-01-13","194","2006-02-08","1990-01-01","2006-02-03",NULL,"1990-01-01",NULL,,"1900-01-02"
"Del Boca Vista","2008-03-11","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01","1234","4321","2009-09-08"
"Manor Blvd. Subdivision","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Knight, Bernice","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Penn Manor Comet Field","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","2006-08-03",NULL,"1990-01-01",NULL,,"1900-01-02"
"Noll Drive Associates","2006-01-23","2006-01-23","193","2006-01-23","2006-02-06","2006-02-03",NULL,"1990-01-01",NULL,,"1900-01-02"
"Bantam Lane","2007-05-15","2007-04-17","209","2007-05-15","2007-05-02","2007-05-11",NULL,"1990-01-01",NULL,,"1900-01-02"
"Kline&#039s Services, Inc. - Residual Bldg.","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Page, Dave & Cindy","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Boshnaugle, Donald 202 Sylvan Retreat Road","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Hess 3868 Columbia Avenue - Commercial","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Jung, Gary A. - Lot Sub. - Stonehenge Dr.","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Southern Village Phase 2","2006-08-03","2006-06-12","200","2006-08-07","2006-07-07","2006-06-15",NULL,"1990-01-01",NULL,,"1900-01-02"
"Edington Place formerly Honeysuckle Lane Subdivision","2007-04-30","2006-11-10","208","2007-09-14","2006-11-13","2007-10-08",NULL,"1990-01-01",NULL,,"1900-01-02"
"Rettew - 3020 Associates Addition","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","2011-01-20","2","1990-01-01",NULL,,"1900-01-02"
"It&#039s A Grind Coffee Shop","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Lausch Lane Lot 2","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Landings at Eagle Heights (Final Ph)","2007-02-22","2007-01-18","204","2007-03-13","2007-02-26","2007-01-23",NULL,"1990-01-01",NULL,,"1900-01-02"
"Hershey Mill Manor (Hershey Mill West)","2005-06-20","2005-06-20","188","2005-09-29","2005-09-22","2005-07-08",NULL,"1990-01-01",NULL,,"1900-01-02"
"Cedar Chase","1990-01-01","1990-01-01","186","1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Lancaster Toyota Mazda Collision Center","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Eagle Heights","2003-04-28","1990-01-01","169","2003-04-28","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"MISCELLANEOUS PROJECT PERMITS","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,NULL,NULL,,NULL
"Cibo Pizza and Grille","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Lancaster General  Campus W&B and Rehab Hospital","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Lancaster General Campus Ambulatory Surgery Center","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","2006-12-19",NULL,"1990-01-01",NULL,,"1900-01-02"
"Kissel Hill Commons Phase 3 - Final Phase","2005-09-29","2005-09-08","187","2005-09-29","2008-04-03","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Parkridge","2006-05-08","2006-03-15","198","2006-05-08","2005-08-15","2006-03-22",NULL,"1990-01-01",NULL,,"1900-01-02"
"Commerce Bank - Golden Triangle","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Homewood Suites","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Walgreens - Golden Triangle","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"65 Meadow Ln","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Jay Group - Stony Battery Corp Center","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","2007-03-02",NULL,"1990-01-01",NULL,,"1900-01-02"
"Treztark II LTD (Stony Battery Commerce Ctr Ph 4)","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Jay Group (Stony Battery Corp Center Lot 11)","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Landale (formerly Landis Tract)","2004-11-02","1990-01-01","176","2004-11-02","1990-01-01","2004-09-15",NULL,"1990-01-01",NULL,,"1900-01-02"
"Veranda Phase 2 and 3","1990-01-01","1990-01-01","185","2005-08-15","1990-01-01","2005-08-29",NULL,"1990-01-01",NULL,,"1900-01-02"
"Sunset Ridge 2  (formerly Crescent Ridge / Beiler)","2007-04-05","2007-03-08","205","2007-04-05","2007-07-11","2008-08-06","2","1990-01-01",NULL,,"1900-01-02"
"Kissel Hill Commons - LOT #287 - Commercial","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,"1990-01-01",NULL,,"1900-01-02"
"Triple H Construction","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","2007-01-22",NULL,"1990-01-01",NULL,,"1900-01-02"
"Manor Oaks Phase 1,2,3 and 3A","1990-01-01","1990-01-01",NULL,"1990-01-01","1990-01-01","1990-01-01",NULL,NULL,NULL,,NULL
"Veranda Phase 1","2004-03-26","1990-01-01","175","2004-03-26","2004-06-17","2004-05-04",NULL,"1990-01-01",NULL,,"1900-01-02"
