Name, DRF, FPA, PMA
"Sandlewood Townhomes (TEST)","1990-01-01","1990-01-01","1990-01-01"
"Commerce Bank - Manheim Pike","2005-12-06","2006-04-19","1990-01-01"
"Penn Cinema","2005-07-29","2005-10-11","2005-10-05"
"Arbors at Spring Valley","2006-01-11","2006-03-21","2006-05-12"
"Kissinger Subdivision","2006-07-21","2006-08-11","2006-06-22"
"Carrington Subdivision","2006-02-22","2006-07-07","2006-06-14"
"Diller Tract","2006-05-02","1990-01-01","2009-03-09"
"Worthington (Rockview) Subdivision - Residential","2006-09-20","2008-04-08","2006-12-18"
"Chatsworth","2007-06-18","2007-08-27","2007-11-06"
"Stone Mill Estates (Bridle Estates)","2006-02-14","2006-06-26","2006-06-19"
"Manor Oaks Lot 146","2006-05-22","2006-07-12","2006-08-02"
"Eagles View 1B","1990-01-01","1990-01-01","1990-01-01"
"Wetherburn Commons","2004-06-30","2005-07-01","2004-11-10"
"Southern Village Phase 1","2002-05-21","1990-01-01","2005-05-25"
"SIM Properites","2006-01-12","2006-04-12","1990-01-01"
"Winchelsea (Hynicka Tract)","2007-04-03","2007-06-26","2007-06-28"
"Al Hamiltion Family LP 2","2006-05-05","2006-06-08","2006-07-12"
"Timson Place","2006-07-28","2006-03-13","2005-10-03"
"D.A.D. Enterprises, Inc.","2005-09-09","2005-11-28","2005-10-14"
"Abel Drive Lot 8   (3912)","2006-05-17","2006-07-12","2006-06-16"
"Brethren Villiage- Village Garden Apartments II","2005-07-22","2005-09-19","2005-10-14"
"Fruitville Business Park Subdivision","2006-05-17","2007-03-28","2007-06-07"
"Parkfield - Phase 1","2002-09-26","2003-02-28","2003-04-15"
"Mews at Homestead","1990-01-01","1990-01-01","1990-01-01"
"Village Grande @ Millers Run","1990-01-01","1990-01-01","1990-01-01"
"Brighton Commercial","2005-04-28","1990-01-01","1990-01-01"
"Penns Crossing","2004-03-04","2004-04-21","2004-07-19"
"Farm on Quarry Road","2004-08-31","2005-05-31","2005-10-06"
"Chaddsford Estates","1990-01-01","1990-01-01","1990-01-01"
"Millstone Village (Hershey Mill East)","2004-11-24","2005-05-31","2004-11-12"
"Manor Heights","2004-12-15","2005-05-31","2005-01-20"
"Landis Estates","2004-10-15","2005-02-15","2005-01-12"
"Porter Tract (Meadow Run)","2004-06-01","2005-01-03","2004-12-08"
"Windemere Place","1990-01-01","1990-01-01","1990-01-01"
"Woods Edge","1990-01-01","1990-01-01","1990-01-01"
"Twin Oaks Hollow","2004-04-12","2004-10-05","2004-10-06"
"Windsor Court","1990-01-01","1990-01-01","1990-01-01"
"Sunset Ridge 1","1990-01-01","1990-01-01","2006-10-26"
"Rosewood",NULL,,NULL
"Manor Oaks Remaining Lands Section 3","2005-05-16","2005-09-20","1990-01-01"
"Westwood Green","2003-10-01","2004-01-10","2003-10-01"
"Union Nation Bank- Gold Cafe","1990-01-01","1990-01-01","1990-01-01"
"DH Funk Lot 1","1990-01-01","1990-01-01","1990-01-01"
"Woods Edge Villas at Sutherland","1990-01-01","1990-01-01","1990-01-01"
"Rental Service Corporation","2005-11-07","1990-01-01","1990-01-01"
"Brethren Village-Fieldcrest Cottages Phase III","2006-03-20","2006-06-06","2006-06-05"
"Stonemill Estates","2007-10-16","1990-01-01","1990-01-01"
"Eastland Land Development Subdivision","2005-11-14","2005-08-23","2005-08-08"
"Del Boca Vista","1990-01-01","1990-01-01","1990-01-01"
"Manor Blvd. Subdivision","2005-11-28","2006-12-06","2005-06-08"
"Knight, Bernice","1990-01-01","1990-01-01","2005-09-30"
"Penn Manor Comet Field","2004-05-25","2006-02-16","2005-09-30"
"Noll Drive Associates","2005-09-21","2005-12-06","2006-01-19"
"Bantam Lane","2006-03-14","2006-06-19","2006-08-03"
"Kline&#039s Services, Inc. - Residual Bldg.","2006-07-13","2006-07-25","1990-01-01"
"Page, Dave & Cindy","1990-01-01","1990-01-01","1990-01-01"
"Boshnaugle, Donald 202 Sylvan Retreat Road","1990-01-01","1990-01-01","2006-11-22"
"Hess 3868 Columbia Avenue - Commercial","2006-02-24","2006-06-26","2006-09-28"
"Jung, Gary A. - Lot Sub. - Stonehenge Dr.","2006-08-01","2006-09-15","2006-08-11"
"Southern Village Phase 2","2006-06-12","2006-06-19","2006-06-22"
"Edington Place formerly Honeysuckle Lane Subdivision","2006-03-08","2006-11-27","2006-08-03"
"Rettew - 3020 Associates Addition","2010-12-16","2011-01-20","2006-06-02"
"It&#039s A Grind Coffee Shop","2007-05-10","1990-01-01","2007-06-07"
"Lausch Lane Lot 2","2006-04-26","2006-09-19","1990-01-01"
"Landings at Eagle Heights (Final Ph)","2006-07-21","2006-12-06","2006-11-22"
"Hershey Mill Manor (Hershey Mill West)","2005-05-31","2005-05-31","2004-11-12"
"Cedar Chase","2005-03-04","1990-01-01","1990-01-01"
"Lancaster Toyota Mazda Collision Center","1990-01-01","1990-01-01","2006-12-05"
"Eagle Heights","1990-01-01","1990-01-01","2003-03-12"
"MISCELLANEOUS PROJECT PERMITS","1990-01-01","1990-01-01","1990-01-01"
"Cibo Pizza and Grille","1990-01-01","1990-01-01","1990-01-01"
"Lancaster General  Campus W&B and Rehab Hospital","2006-06-21","2006-08-10","1990-01-01"
"Lancaster General Campus Ambulatory Surgery Center","2006-06-21","2006-08-10","1990-01-01"
"Kissel Hill Commons Phase 3 - Final Phase","2005-05-24","2005-09-29","2005-09-08"
"Parkridge","2005-06-16","2005-11-07","2006-01-13"
"Commerce Bank - Golden Triangle","2005-01-27","###############################################################################################################################################################################################################################################################","1990-01-01"
"Homewood Suites","2006-10-12","2006-11-22","2006-11-22"
"Walgreens - Golden Triangle","2005-08-17","2005-11-30","1990-01-01"
"65 Meadow Ln","2004-09-21","2006-03-22","1990-01-01"
"Jay Group - Stony Battery Corp Center","2006-09-11","2006-09-15","2006-09-14"
"Treztark II LTD (Stony Battery Commerce Ctr Ph 4)","2006-09-27","2006-12-07","1990-01-01"
"Jay Group (Stony Battery Corp Center Lot 11)","1990-01-01","1990-01-01","1990-01-01"
"Landale (formerly Landis Tract)","2004-01-28","2004-04-21","2004-04-16"
"Veranda Phase 2 and 3","2004-11-04","2005-02-18","2004-12-16"
"Sunset Ridge 2  (formerly Crescent Ridge / Beiler)","2006-08-01","2006-12-19","2006-10-26"
"Kissel Hill Commons - LOT #287 - Commercial","2006-08-01","2006-08-11","1990-01-01"
"Triple H Construction","2006-08-30","2006-10-17","1990-01-01"
"Manor Oaks Phase 1,2,3 and 3A","1990-01-01","1990-01-01","1990-01-01"
"Veranda Phase 1","2003-10-13","2004-02-09","2003-10-16"
"Pappas-2 lots (Dorsea Rd & Springvalley Rd)","1990-01-01","1990-01-01","1990-01-01"
"NGUYEN  Lot @ 1750 Sammar Rd","1990-01-01","1990-01-01","1990-01-01"
"1896 Millersville Rd Subdivision","2006-09-11","2007-03-12","2007-04-02"
"Fanelli, Gary - 12 Druid Circle lot","1990-01-01","1990-01-01","1990-01-01"
"Murry South Centerville Road Walmart","2007-01-16","1990-01-01","1990-01-01"
"Church of Jesus Christ of Latter-Day Saints","2006-10-06","2009-12-09","1990-01-01"
"Brod, Roy lot @70 Valley Rd.","2006-09-13","2006-09-25","1990-01-01"
"Severn Tract","2005-04-25","2005-08-23","2005-10-14"
"Parkfield - Phase 2","2006-02-02","2006-06-12","1990-01-01"
"Bethel Commons","2006-12-08","2007-03-07","2007-02-01"
"3050 Yellow Goose Rd - Office","2006-09-26","2006-10-27","2006-12-05"
"Hempfield Crossing Phase 1 (formerly Wissler Tract","2007-02-15","2007-11-07","2007-08-11"
"Blossom Hill Mennonite Church","2006-02-06","2006-11-07","2006-03-27"
"DeGeorge lot @ 1790 State St.","1990-01-01","1990-01-01","1990-01-01"
"DeGeorge lot @ 530 Garden Hill Lane","1990-01-01","1990-01-01","1990-01-01"
"Fairway Drive Subdivision","2007-01-08","1990-01-01","1990-01-01"
"Heisey, Michael - Apts @ 686 Bean Hill Rd.","1990-01-01","1990-01-01","1990-01-01"
"1015 Wheaton Dr. lot","1990-01-01","1990-01-01","1990-01-01"
"Tobacco Road Condos","2007-08-07","2007-11-01","2007-01-05"
"Ruby Tuesday Inc.","2006-12-13","2007-02-06","1990-01-01"
"Ritas Italian Ice","2007-01-12","2007-03-27","2007-04-02"
"Preserve at Silver Spring - Residential","1990-01-01","1990-01-01","1990-01-01"
"Preserve at Silver Spring - Commercial","2007-08-03","2008-04-30","2008-11-11"
"Broomell Residence (Spring Valley Rd.)","1990-01-01","1990-01-01","1990-01-01"
"Imperial Homes - 2774 Kreider Rd.","1990-01-01","1990-01-01","1990-01-01"
"Orthopedic Assoc - North Pointe","2006-11-20","2006-12-05","1990-01-01"
"Spring Haven","2007-02-02","2007-05-16","2007-03-13"
"730 Eden Road Office Bldg.","2007-01-29","2007-07-27","2007-08-09"
"Calvary Church Expansion  (MHT)","2006-11-30","2007-01-19","1990-01-01"
"Bloomfield Village","2006-12-13","2007-01-12","1990-01-01"
"3816 Concordia Rd. (Dave Charles)","1990-01-01","1990-01-01","1990-01-01"
"Mariani - Office Bldg - 501 Rohrerstown Rd.","1990-01-01","1990-01-01","1990-01-01"
"Summit Hills - Portion of Phases 3 & 4","2006-12-20","1990-01-01","1990-01-01"
"F& M Athletic Field Restrooms","2005-09-23","2005-11-07","1990-01-01"
"Apria Healthcare Facility","2001-12-12","1990-01-01","1990-01-01"
"Autohouse of Lancaster","2006-01-11","2008-10-01","2005-10-06"
"Binkley Ober 1501 Graystone Road","1990-01-01","1990-01-01","2005-02-23"
"Stauffers of Kissel Hill  (Rohrerstown Rd)","2007-05-08","2007-10-22","2007-08-30"
"Bent Creek","1990-01-01","1990-01-01","1990-01-01"
"Brighton Residential","1990-01-01","1990-01-01","1990-01-01"
"Chadwyck Estates","1990-01-01","1990-01-01","1990-01-01"
"Kissel Hill Commons - LOT #287 - Residential","1990-01-01","1990-01-01","1990-01-01"
"Laurel Pond (Milton Estates)","1990-01-01","1990-01-01","1990-01-01"
"Mondamin Farm","1990-01-01","1990-01-01","1990-01-01"
"Oldefield","1990-01-01","1990-01-01","1990-01-01"
"Stonehenge","1990-01-01","1990-01-01","1990-01-01"
"Wellesley Manor","1990-01-01","1990-01-01","1990-01-01"
"Willowbend Estates","1990-01-01","1990-01-01","1990-01-01"
"Golden Triangle Apartments","2005-07-11","2005-09-29","2005-11-23"
"Manheim Township High School","2004-10-27","1990-01-01","1990-01-01"
"Sylvan Retreat Road Lots","2007-05-30","2007-10-27","2007-12-06"
"Roseville Realty Co.","2004-09-09","2008-11-18","2007-08-07"
"329 East New St. lot - Mountville","1990-01-01","1990-01-01","1990-01-01"
"331 East New St. lot - Mountville","1990-01-01","1990-01-01","1990-01-01"
"Stoltzfus, Benuel Subdivision - Farmdale Rd","1990-01-01","1990-01-01","1990-01-01"
"Airport Industrial Park - Lot 33","2007-06-08","2007-08-31","2007-07-23"
"Lincoln West Apts - Temporary Trailers","2007-06-26","1990-01-01","2008-05-20"
"Hempfield Hill Estates","1990-01-01","1990-01-01","1990-01-01"
"Eshelman Trust Lot - 145 Weaver Rd","1990-01-01","1990-01-01","1990-01-01"
"Hempfield Commons - Residential","2007-05-02","2007-12-18","2007-06-05"
"Fruitville Day Care Center","2007-05-02","2007-07-31","2007-06-07"
"Sarsen Drive","2005-03-15","1990-01-01","2005-08-15"
"17 Roselawn Avenue","1990-01-01","1990-01-01","1990-01-01"
"Hempfield Commons - Commercial","1990-01-01","1990-01-01","1990-01-01"
"Tingley Lot - 781 Prospect Rd","1990-01-01","1990-01-01","1990-01-01"
"Kissel Hill Commons - LOT #308 Community Bldg","2007-06-22","2007-08-27","1990-01-01"
"Kleine Property","1990-01-01","1990-01-01","1990-01-01"
"1632 Temple Ave (Dave Charles lot)","1990-01-01","1990-01-01","1990-01-01"
"Blank, John Lot @ 260 Lania Drive","1990-01-01","1990-01-01","1990-01-01"
"Brethren Village - Covenant Crossing","2007-09-21","2007-11-13","2007-10-16"
"3296 Marietta Ave (Carol A Wile)","1990-01-01","1990-01-01","2007-07-05"
"Independence Residential","1990-01-01","1990-01-01","1990-01-01"
