Name, TOI, IAR, ICR, IED, SFF, DODD, ABR
"Sandlewood Townhomes (TEST)","N/A","1990-01-01","1990-01-01","1990-01-01","2","1990-01-01","1990-01-01"
"Commerce Bank - Manheim Pike",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Penn Cinema","Standard","2006-05-25","2006-05-30","2006-12-31","0","1990-01-01","1990-01-01"
"Arbors at Spring Valley","Standard","2006-06-12","2008-10-02","2011-10-06","0","2008-05-22","2007-05-31"
"Kissinger Subdivision","Township Road","2007-10-23","2007-10-30","2008-06-20","0","1990-01-01","1990-01-01"
"Carrington Subdivision","Township Road","2006-09-05","2006-09-22","2009-07-01","0","2008-09-29","2008-08-14"
"Diller Tract","State Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Worthington (Rockview) Subdivision - Residential","Standard","2008-09-18","2008-09-15","2013-06-30","0","1990-01-01","1990-01-01"
"Chatsworth","Township Road","2008-01-15","2008-10-01","2011-10-06","0","2008-09-29","2008-08-15"
"Stone Mill Estates (Bridle Estates)","Township Road","2007-09-18","2007-09-21","2012-06-30","0","2009-10-08","2009-06-16"
"Manor Oaks Lot 146","Township Road","2006-10-03","2008-05-21","2009-05-11","0","2007-10-03","2007-08-20"
"Eagles View 1B",,"1990-01-01","1990-01-01","1990-01-01","0","2007-07-26","1990-01-01"
"Wetherburn Commons","Standard","2006-06-16","2006-06-30","2013-07-01","0","2009-03-10","2009-01-27"
"Southern Village Phase 1","State Road","2005-05-25","2006-03-23","2006-10-01","2","1990-01-01","1990-01-01"
"SIM Properites","Township Road","2006-03-31","2006-06-19","2007-01-01","0","1990-01-01","1990-01-01"
"Winchelsea (Hynicka Tract)","Township Road","2007-07-20","2007-06-26","2008-06-30","0","2008-04-28","2008-03-18"
"Al Hamiltion Family LP 2","State Road","2006-10-09","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Timson Place","State Road","2007-03-01","2007-02-26","2007-10-01","1","2008-09-03","2008-12-02"
"D.A.D. Enterprises, Inc.","Standard","2006-05-25","2006-05-26","2007-01-01","0","1990-01-01","2007-04-09"
"Abel Drive Lot 8   (3912)","N/A","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brethren Villiage- Village Garden Apartments II","Township Road","2006-01-20","2007-10-01","2008-10-01","0","1990-01-01","1990-01-01"
"Fruitville Business Park Subdivision","State Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Parkfield - Phase 1","Standard","2003-10-27","2004-06-30","2005-07-01","0","2008-09-03","2005-02-08"
"Mews at Homestead","State Road","1990-01-01","1990-01-01","1990-01-01","0","2013-07-02","1990-01-01"
"Village Grande @ Millers Run","State Road","1990-01-01","1990-01-01","2008-04-30","0","2008-09-03","2008-07-21"
"Brighton Commercial",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Penns Crossing","Standard","2005-03-10","2005-02-23","2005-07-01","0","2011-08-02","2007-12-12"
"Farm on Quarry Road","Township Road","2005-09-22","2006-10-02","2007-10-06","0","1990-01-01","2006-07-05"
"Chaddsford Estates",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Millstone Village (Hershey Mill East)","Township Road","2005-06-20","2006-06-29","2007-07-01","1","2007-01-30","2006-10-26"
"Manor Heights","Township Road","2005-08-12","2005-08-12","2006-06-01","0","2008-06-30","2007-08-20"
"Landis Estates","Township Road","2005-09-15","2006-06-29","2007-07-01","0","2006-08-02","2006-03-18"
"Porter Tract (Meadow Run)","Township Road","2005-05-10","2005-04-27","2006-10-06","0","1990-01-01","1990-01-01"
"Windemere Place",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Woods Edge",,"1990-01-01","2011-11-14","2012-12-01","0","1990-01-01","1990-01-01"
