PID, Project, Res_Type, Res_Amount, User_Type, Treatment_Location, Phase, Contact_To, Notes, Escrow_Refund, Project_Complete, PumpStation, Utility, D_Contact, E_Contact, Required, OpenDate, EscrowFile, LastUpdate, Status, GISID, E_Name, D_Name, Municipality
"1","Sandlewood Townhomes (TEST)","GPD","5000","R","LASA","Capacity","Developer","this is a test.

------------------------------------------------------------

Comments by:Brian Burgoon 5/4/2006 10:50:16 AM
------------------------------------------------------------
this is a test.
Comments by:Brian Burgoon 5/12/2006 9:45:13 AM
------------------------------------------------------------",,,"38","4","John Smith","Ben Ehrhart",,"2006-04-24","54618351341","2006-08-25","Closed",,"David Miller Associates, Inc.","Smith Developing (TEST)","MANHEIM TOWNSHIP"
"6","Commerce Bank - Manheim Pike","GPD","350","C","Lancaster City","Closeout","Engineer","12-14-05  Drawings given to MOW to review
01-06-06  Draft letter and drawings given to Albert for his review. Mow
01-11-06  Sent letter w/comments (map)
03-30-06  Received a resubmission. Given to MOW (saf)
04-18-06  Was asked to provide a letter confirming capacity. After looking in the file, I sent the letter they request back on ????? ????????February 2, 2006.
04-19-06  Draft approval letter requesting fees,etc. given to Melissa.  (mow)
04-20-06  Sent letter of plan approval w/requested submittals.  (map)


Comments by:Scot Fertich 6/23/2006 8:20:21 AM
------------------------------------------------------------
We have received a statement of financial security from Gary Nalbandian Chairman of the Board at Commerce Bank self securing their project. - It was ok&#039d by Mike Kyle.
Comments by:Scot Fertich 6/23/2006 8:21:17 AM
------------------------------------------------------------",,,"7","4","Larry Lugaro","Christopher Dellinger","Financial Security Required, Development Review Fee, Final Plan Approval, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-04-28","05515","2012-05-02","Open","3907576600000","Herbert, Rowland & Grubic, Inc. (Hbg. Office)","Commerce Bank","MANHEIM TOWNSHIP"
"7","Penn Cinema","GPD","11200","C","LASA","Closeout","Developer","7-26-05  Sent out capacity response. Received call from Matt Tressler at McClure who is designing the grinder pump system
8-5-05: Plans submitted and given to MOW. We need to write a letter requesting payment for the reservation if they need it. 
8-22-05 MOW still has
8-29-05 Not done
9-6-05 Letter sent out
9-29-05 drawings given to MOW to review
10-11-05 Clean letter went out
10-24-05 Sent out a confirmation that capacity was reserved till August 31, 2006
4-18-06 Note that the tapping fee with the reservation credit will be 11,200 gpd x $8.40 per gall= $94,080 deduct reservation $7,520.00= $86,560.00

Comments by:Scot Fertich 5/26/2006 1:16:34 PM
------------------------------------------------------------
Still needs to supply one set of drawings and the insurance certificate.
Comments by:Scot Fertich 5/26/2006 1:17:06 PM
------------------------------------------------------------
Penn Ketchem called. He said that the flow request was too high. Since the Cinema was scaled back by about 200 seats, the reduced predicted sewer flow was never adjusted. He will be sending us a letter.
Comments by:Scot Fertich 5/26/2006 2:54:22 PM
------------------------------------------------------------
We have refunded a portion of the tapping fee based on a recalcuation of the flows.
Comments by:Mike Williams 6/13/2006 8:44:39 AM
------------------------------------------------------------

Rec&#039d request for proposed revision to force main August 15, 2006. Mailed response letter w/comments Aug. 17, 2006.  

Scot also then emailed Penn Ketchum re-requesting the $1000 escrow for further review, inspections, etc. (Original request was Oct. 11, 2005)
Comments by:Melissa Paules 8/17/2006 10:47:03 AM
------------------------------------------------------------
Scot sent Penn Ketchum by fax a copy of our Oct 11, 2005 letter with the escrow amount listed on it.

Comments by:Scot Fertich 8/29/2006 8:55:38 AM
------------------------------------------------------------
Sent plan revision review letter w/comments.


Comments by:Melissa Paules 10/17/2006 2:53:08 PM
------------------------------------------------------------
Reviewed revised drawings for Penn Cinema. We still disagree with the cleanout details. The cleanouts could freeze and break. Their latest proposal is to stick a inflatable ball in the cleanout. This will not work.
Comments by:Scot Fertich 10/27/2006 9:25:15 AM
------------------------------------------------------------",,,"7","4","Penn Ketchem","Holly Swartz","Reservation Required, Financial Security Required, Development Review Fee, Final Plan Approval, Planning Module Approved, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-04-28","05495","2010-05-17","Open","3901269100000","Rettew Associates, Inc.","Penn Cinema Management Company, LLC","MANHEIM TOWNSHIP"
"8","Arbors at Spring Valley","IDU","35","R","LASA","Closeout","Engineer","05-06-05  Rec&#039d Capacity request w/$225 escrow.  (map)
01-11-06  Rec&#039d Development review $1000 escrow w/plans.  (map)
01-18-06  Drawings given to MOW to review
01-18-06  Scot needs to do the planning module after we receive the capacity reservation
02-07-06  Drawings and draft letter requesting changes given to Albert for his comments.  (mow)
02-16-06  Sent letter w/plan comments. (map)
02-27-06  Received revised drawings - given to MOW to review
03-21-06  Drawings OK - Draft letter requesting fees and documents given to Melissa  (mow)
03-27-06  Sent DEP Planning Module application to DM/A. (map)
04-17-06  Sent DEP WQG-02 application to DM/A.  (map)

Comments by:Scot Fertich 5/12/2006 9:39:08 AM
------------------------------------------------------------
Rec&#039d WQM Part II Permit from DEP 6/6/06
Comments by:Melissa Paules 6/13/2006 9:55:35 AM
------------------------------------------------------------

Comments by:Melissa Paules 6/13/2006 9:57:38 AM
------------------------------------------------------------
Multiple docs. rec&#039d. along  w/construction permit fee & escrow. Will forward to Fran for deposit then to Scot for review of docs. (Some docs are incomplete & financial security is incorrect).
Comments by:Melissa Paules 6/13/2006 10:48:55 AM
------------------------------------------------------------
The financial security was corrected. We still need the right of way recorded and the insurance certificate.

Comments by:Scot Fertich 6/15/2006 1:19:51 PM
------------------------------------------------------------
Received cut sheets from Smitty on 4 Oct 06.
Comments by:Mike Williams 10/6/2006 1:26:44 PM
------------------------------------------------------------
Check if As-builits can be submitted
Comments by:Scot Fertich 1/31/2007 11:14:50 AM
------------------------------------------------------------
Renewed Capacity Reservation 1/24/07, 23 IDU&#039s
Reservation Expires 2/2/08


Comments by:Melissa Paules 2/26/2007 8:51:45 AM
------------------------------------------------------------
Received draft as-built drawings. Given to MOW to review
Comments by:Scot Fertich 5/11/2007 8:39:07 AM
------------------------------------------------------------
Sent Notice of Capacity Reservation Expiration. Expiration Date is 02/02/08, 20 IDU&#039s

Comments by:Melissa Paules 1/14/2008 12:25:59 PM
------------------------------------------------------------
Received payment of renewal of Capacity Reservation 20 IDU&#039s $2,000.00

Comments by:Melissa Paules 2/4/2008 11:41:07 AM
------------------------------------------------------------
Sent Notice of Capacity Reservation Expiration on 01/08/09. 
Expiration Date is 02/02/09, 16 IDU&#039s.

Received payment of renewal of Capacity Reservation 16 IDU&#039s $1600.00


Comments by:Melissa Paules 1/21/2009 9:05:17 AM
------------------------------------------------------------",,,"7","2","Robert Riahi","Ben Ehrhart","Reservation Required, Financial Security Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Planning Module Approved, ACT 14 Notification, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Shop Drawing Approval, Indemnification Needed, Final Inspection, Deed of Dedication, Escrow Refunded, As Builts, Project Complete & Closed","2006-04-28","05479","2014-02-24","Open","2902050600000","David Miller Associates, Inc.","First Neighborhood LLC (MillField Construction)","EAST HEMPFIELD TOWNSHIP"
"9","Mews at Homestead","IDU","0","R","LASA","Closeout","Engineer","Called Doug Motter about getting the broken manhole frames repaired. 397-4831
Comments by:Scot Fertich 12/15/2006 11:04:57 AM
------------------------------------------------------------",,,"7","4","Doug Motter","Doug Matthews","Deed of Dedication","2006-05-05","02298","2013-07-09","Open","2909780600000","David Miller Associates, Inc.","Homestead Village, Inc.","EAST HEMPFIELD TOWNSHIP"
"10","Village Grande @ Millers Run","IDU","110","R","LASA","Closeout","Engineer","Sent Notice of expiration of capacity 3-14-07 for 49 idus&#039 (capacity will expire 4-25-07).

Received Capacity Renewal payment of $4,900.00 (Ck. #106709) 4-25-07.


Comments by:Melissa Paules 4/25/2007 12:12:34 PM
------------------------------------------------------------
4/25/07 Rec&#039d Ck. #106709 $$4,900.00 to pay for 49 lots.
4/27/07 Rec&#039d Ck. #106714 $100.00 to pay for an additional lot, Lot #198.

Comments by:Melissa Paules 3/18/2008 10:45:46 AM
------------------------------------------------------------
3/18/08 Sent Notice of Capacity Reservation Expiration 50 IDU&#039s, Expire Date is 4/25/07.

Comments by:Melissa Paules 3/18/2008 10:48:58 AM
------------------------------------------------------------
05/07/08  Received payment for Capacity Reservation for 50 IDU&#039s, Check #108434


Comments by:Melissa Paules 5/7/2008 3:35:45 PM
------------------------------------------------------------
04/13/09  Received payment for Capacity Reservation renewal for 40 IDU&#039s
                 Check #97515

Comments by:Melissa Paules 4/13/2009 11:28:57 AM
------------------------------------------------------------",,,"7","4","Mitchell Newman","Don Barrett","Shop Drawing Approval, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-05-05","02275","2013-03-26","Open","2903762400000","Rettew Associates, Inc.","D.R. Horton, Inc. dba SGS Communities","EAST HEMPFIELD TOWNSHIP"
"11","Brighton Commercial","GPD","1400","R","LASA","Closeout","Developer",,,,"7","4","G. Robert Riahi","Doug Matthews","Development Review Fee, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-05-05","05477","2011-08-11","Open",,"David Miller Associates, Inc.","Millfield Construction Co.","MANHEIM TOWNSHIP"
"12","Penns Crossing","IDU","53","R","LASA","Closeout","Developer",,,,"7","4","John Hogan","Greg Strausser","Builder&#039s Agreement, Development Review Fee, Final Plan Approval, Planning Module Approved, Approved Construction Permit, Board Approval, Rights of Way Received, Shop Drawing Approval, Indemnification Needed, Final Inspection, Deed of Dedication, Escrow Refunded, As Builts, Project Complete & Closed","2006-05-05","04373","2011-08-11","Open","3902327300000","Strausser Surveying & Engineering, Inc.","New Generation LLC","MANHEIM TOWNSHIP"
"13","Farm on Quarry Road","IDU","50","R","LASA","Closeout","Developer","9-13-05  Smitty said they have begun work at the site. The project has not been approved. I called and left message for Andrew Lehman at Simeral
9-14-05  Received shop drawings, MOW to review
9-21-05  Received a letter from Bank stating that they will issue a letter of credit.
9-22-05  Shop drawings are approved. MOW
9-22-05 Farm on Quarry Road is waiting for the loc before proceeding. The board approved it and a construction permit is prepared but being held until the LOC is received.
9-30-05  We still did not receive the LOC. Andy Lehman sent letter stating that it would be here by October 4.
01-25-06 received cut sheets from Smitty.  mow
01-25-06 Entered lateral data from cut sheets onto drawings on Construction stick, and showed Melissa.  mow

Comments by:Scot Fertich 6/6/2006 2:22:03 PM
------------------------------------------------------------
Received as-builts for MOW to review
Comments by:Scot Fertich 6/6/2006 2:22:23 PM
------------------------------------------------------------

Sent letter regarding reduction of security amount.
Comments by:Melissa Paules 9/8/2006 8:56:16 AM
------------------------------------------------------------",,,"7","4","Andy Lehman","Greg Strausser","Financial Security Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Planning Module Approved, ACT 14 Notification, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Shop Drawing Approval, Indemnification Needed, Final Inspection, Deed of Dedication, Escrow Refunded, As Builts, Project Complete & Closed","2006-05-05","04417","2013-02-14","Open","3900464000000","Strausser Surveying & Engineering, Inc.","Simeral Construction Co.","MANHEIM TOWNSHIP"
"14","Chaddsford Estates","IDU","6","R","LASA","Closeout","Developer",,,,"7","4","Willis Kilheffer","Scott Hain",,"2006-05-05",,"2007-10-03","Open","2907642000000","David Miller Associates, Inc.","Willis & Rhoda Kilheffer","EAST HEMPFIELD TOWNSHIP"
"15","Millstone Village (Hershey Mill East)","IDU","52","R","LASA","Closeout","Developer","07-20-05  Checked file to see if ready for July 28 board meeting. They need to submit financial security, builders agreement                and other items.
07-28-05  Received financial security and builders agreement
09-29-05  Work began on Sept 20 and several manholes were installed
02-15-06  Cut sheets received.  (mow)
02-16-06  Cut sheet info added to const. stick dwgs. Approach updated for permits already sold.  (mow)
02-20-06  Received cut sheets from Miller-warner. Given to MOW to review

Comments by:Scot Fertich 6/12/2006 9:32:41 AM
------------------------------------------------------------
REceived a request for cancelation of the LOC from Randy Hess. I reminded Randy that we need to keep 15% for 18 months after dedication plus we want to hold $5000 for as-built drawings. He will submit a request for a LOC reduction instead of cancelation.
Comments by:Scot Fertich 6/12/2006 9:33:41 AM
------------------------------------------------------------
Received a amendment to the standby letter of credit in the amount of 18493.10

Comments by:Scot Fertich 7/14/2006 2:58:24 PM
------------------------------------------------------------

Rec&#039d reduced LOC for $18,493.10 July 7/7/06

Comments by:Melissa Paules 7/18/2006 11:42:24 AM
------------------------------------------------------------

Scot called and requested explanation of expiration date of amended LOC

Comments by:Melissa Paules 7/18/2006 11:54:27 AM
------------------------------------------------------------
****
Construction Permit for Millstone Village was issued for a total of 69 IDU&#039s.
17 of these IDU&#039s were previously issued on Permits before the PDM program.
52 Permits (1 IDU each) were opened under this project in the PDM.
****
Comments by:Melissa Paules 8/17/2006 2:34:03 PM
------------------------------------------------------------
DOD in hand for approval at the January Board Meeting
Comments by:Scot Fertich 1/2/2007 10:41:14 AM
------------------------------------------------------------
4-11-07 Sent Expiration of Sewer Reservation Notice, due by 5-8-07

Comments by:Melissa Paules 4/12/2007 1:57:25 PM
------------------------------------------------------------
All reserved idu&#039s / permits picked up and paid for on 4-23-07

Comments by:Melissa Paules 4/26/2007 4:23:11 PM
------------------------------------------------------------",,,"2","1","Randy Hess","Troy R. Strunck ASLA","Reservation Required, Financial Security Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Road Opening Permit, Planning Module Approved, ACT 14 Notification, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Shop Drawing Approval, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-05-05","04399","2014-06-05","Open","4106448100000","RGS Associates, Inc.","Oak Hill Partners","MANOR TOWNSHIP"
"16","Manor Heights","IDU","113","R","LASA","Closeout","Developer","We need the As-built drawings
Comments by:Scot Fertich 2/14/2007 2:29:51 PM
------------------------------------------------------------
I received a phone today from Jeff Peters at Remax regarding the remaining 39 homes at this development. He was asking about tapping fee cost. He did say he has all the addresses so I recommended he complete the sewer permit request information form for each lot and return them with the full payment of the tapping fees to insure reserved capacity. I emailed him the form and he thanked me for the information and the help.

I will give file to Scot with this question...Is there anything else they need to know?

Comments by:Melissa Paules 4/17/2008 12:05:12 PM
------------------------------------------------------------

Comments by:Melissa Paules 4/17/2008 12:09:20 PM
------------------------------------------------------------",,,"2","1","John Randolph","Scott Hain","Reservation Required, Financial Security Required, Builder&#039s Agreement, Development Review Fee, Final Plan Approval, Planning Module Approved, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Shop Drawing Approval, Indemnification Needed, Final Inspection, Deed of Dedication, Escrow Refunded, As Builts, Project Complete & Closed","2006-05-05","04446","2013-03-25","Open","4100888900000","David Miller Associates, Inc.","MBI Development Co.","MANOR TOWNSHIP"
"17","Landis Estates","IDU","11","R","Lancaster City","Closeout","Developer","08-05-05  Reviewed the construction cost estimate
08-25-05  Approved a revised builders agreement
09-23-05  Sent out Construction Permit
28 Dec 05  Cut sheets received. MOW
3 Jan 06     Put lateral info on const stick dwgs, 2 permits already sold,  31012 & 31097 updated lateral data in ?????????????????Approach. Cut sheets put in accordian file. MOW
02-11-06  Received asbuilts and gave to MOW to review
02-25-06  Approximately- Sent letter with financial security reduction.
02-27-06  Sent letter with one correction to engineer
03-06-06  Received revised asbuilts for review. Should be final, Watch this project for entriy into the que for deed of ?????????????? dedicaiton
03-08-06  Asbilts numbered and distributed. CD and mylars to Yuri. Database index updated. Old drawings removed ???????????????from const. Stick.  (mow)

Comments by:Scot Fertich 6/12/2006 10:31:58 AM
------------------------------------------------------------
REceived letter from STeve Artz requesting dedication of the sewer lines. He was told to call Carol Current at Barley Snyder

Comments by:Scot Fertich 6/12/2006 10:32:40 AM
------------------------------------------------------------",,,"37","4","Stephen J. Artz","Michael D. Hartley","Financial Security Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Road Opening Permit, Planning Module Approved, ACT 14 Notification, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Indemnification Needed, Escrow Refunded, Project Complete & Closed","2006-05-05","04415","2014-06-05","Open","3906330700000","ELA Group, Inc.","Landis Estates LLC","MANHEIM TOWNSHIP"
"18","Porter Tract (Meadow Run)","IDU","13","R","LASA","Closeout","Developer","This project is opened to Track Permits only.

This Project is for a total of 13 IDU&#039s:
(4) of those IDU have been issued before PDM program. 
(1) each on Permit #30894, #30895, #31113, #31307

I will open the remaining (9) permits today Oct. 18, 2006 in PDM program.


Comments by:Melissa Paules 10/18/2006 12:18:52 PM
------------------------------------------------------------",,,"7","2","John A. Hogan","Scott Hain","Reservation Required, Builder&#039s Agreement, Development Review Fee, Final Plan Approval, Road Opening Permit, Planning Module Approved, Approved Construction Permit, Shop Drawing Approval, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-05-05","02305","2011-06-06","Open","2908737400000","David Miller Associates, Inc.","Meadow Run Real Estate Devlopment, LLC","EAST HEMPFIELD TOWNSHIP"
"19","Windemere Place","IDU","13","R","LASA","Closeout","Developer",,,,"31","2","Frank J. Provanzo","Scott Hain",,"2006-05-05","01257","2009-09-22","Open","2901389700000","David Miller Associates, Inc.","FLM Development Co., Inc.","EAST HEMPFIELD TOWNSHIP"
"20","Woods Edge","IDU","0","R","LASA","Construction","Developer",,,,"7","4","Bill Murry","Doug Matthews",,"2006-05-05",,"2011-11-15","Open",,"David Miller Associates, Inc.","Murry Development Corp.","MANOR TOWNSHIP"
"21","Twin Oaks Hollow","IDU","5","R","LASA","Closeout","Engineer",,,,"7","2","Scott Ulrich","Michele L Braas",,"2006-05-05","04383","2009-09-22","Open","2908876800000","Rettew Associates, Inc.","Engle & Hambright Real Estate","EAST HEMPFIELD TOWNSHIP"
"22","Windsor Court","IDU","0","R","LASA","Closeout","Engineer",,,,"16","1","Nate Pipitone","Joseph Gurney",,"2006-05-05","01232","2009-09-22","Open","3001818500000","D C Gohn Associates, Inc.","Wellington Construction Co.","WEST HEMPFIELD TOWNSHIP"
