DID,D_Name,D_Street,D_City,D_State,D_Zip,D_Number,D_Contact,SSMA_TimeStamp
3,Smith Developing (TEST),123 Main Street,Lancaster,PA,17602,717-555-1212,"John Smith,Barb Smith",
10,Commerce Bank,3801 Paxton Street,Harrisburg,PA,17111,717-920-1740,Larry Lugaro,
11,"Penn Cinema Management Company, LLC",541 Airport Road,Lititz,PA,17543,717-626-7720,Penn Ketchem,
12,First Neighborhood LLC (MillField Construction),2130 Marietta Pike,Lancaster,PA,17603,717-293-0293,Robert Riahi,
13,"D.R. Horton, Inc. dba SGS Communities",20 Gibson Place,Freehold,NJ,7728,732-577-1800,Mitchell Newman,
14,"Homestead Village, Inc.",1800 Village Circle,Lancaster,PA,17604,717-397-4831,Doug Motter,
15,Millfield Construction Co.,2130 Marietta Ave.,Lancaster PO Box 6370,PA,17607,717-293-0293,G. Robert Riahi,
16,"Hogan, Herr,Wolf-Moul Group","1525 Oregon Pike, Suite 1202",Lancaster,PA,17601,717-293-1008,Barry D. Hogan,
17,"Charles & Kicera, Inc.",26 Millersville Road,Lancaster,PA,17603,717-299-2100,David Charles,
18,New Generation LLC,"616 Paxton Pl, Ste 100",Lititz,PA,17543,717-560-6540,"John Hogan, Barry Hogan",
19,Simeral Construction Co.,129 West Airport Road,Lititz,PA,17543,717-560-5992,Andy Lehman,
20,Hempfield Valley Partnership,114 Foxshire Drive,Lancaster,PA,17601,717-560-1400,Robert P. Bowman,
21,"Cedar Chase, LLC","2137 Embassy Drive, Ste 210",Lancaster,PA,17603,717-390-3080,Stephen J. Artz,
22,Willis & Rhoda Kilheffer,1280 Stevens Street,Manheim,PA,17545,717-898-8133,Willis Kilheffer,
23,Oak Hill Partners,2547 Lititz Pike,Lancaster,PA,17601,717-299-4885,Randy Hess,
24,MBI Development Co.,1100 Pennsylvania Ave. Suite 700,Wilmington,DE,19806,302-547-4656,John Randolph,
25,2882 Kissel Hill Partnership,"25 North Queen Street, Suite 602",Lancaster,PA,17608,717-399-6628,Gary Melchioni,
26,"Meadow Run Real Estate Devlopment, LLC","1525 Oregon Pike, Suite 1202",Lancaster,PA,17601,717-293-1008,John A. Hogan,
