ID,Category,FileName,Location,Include,Archive_Date,Destroy_Date,Owner,Notes
6,Capital Projects,Bausman Pumping Station,"Treatment Plant,Storage Room 211,1012",,10/27/2006,01/01/1980,Knepp,
7,Capital Projects,Bluerock Pumping Station,"Treatment Plant,Storage Room 211,1012",Correspondence,10/27/2006,01/01/1980,Knepp,
8,Capital Projects,Bluerock Pumping Station,"Treatment Plant,Storage Room 211,1012",Correspondence,10/27/2006,01/01/1980,Knepp,
9,Capital Projects,Bluerock 1 Pumping Station,"Treatment Plant,Storage Room 211,1012",Folder,10/27/2006,01/01/1980,Knepp,
10,Capital Projects,Bluerock Pumping Station,"Treatment Plant,Storage Room 211,1012",,10/27/2006,01/01/1980,Knepp,
11,Capital Projects,Bausman Pumping Station,"Treatment Plant,Storage Room 211,1012","Correspondence, Deeds/Titles, Rights of way",10/27/2006,01/01/1980,Knepp,Includes quitclaim for acquiring land for Bausman PS. Also includes ppl right of way for some pole line changes
12,Capital Projects,Bluerock 2 Pumping Station,"Treatment Plant,Storage Room 211,1012","Correspondence, Deeds/Titles",10/27/2006,01/01/1980,Knepp,Deeds for Bluerock 2 Pumping Station
13,Capital Projects,Bowling Green Pumping Station Wetwell,"Treatment Plant,Storage Room 211,1012","Correspondence, Report",10/27/2006,01/01/1980,Knepp,File contains project information about an upgrade to PS prepared by Rettew around 1993. Contractor was Miller Warner
14,Capital Projects,30-Inch Forcemain Replacement Phase II,"Treatment Plant,Storage Room 211,1012",Correspondence,10/27/2006,01/01/1980,Knepp,Project folder for upgrade of 30 inch forcemain prepared by PSC Engineerings around 1989
15,Capital Projects,Charlestown Pumping Station Problems with Eaton Drives and Westinghouse Motors,"Treatment Plant,Storage Room 211,1012","Correspondence, Invoices",10/27/2006,01/01/1980,Knepp,"File has letters, invoices and background materials for problems at the Charlestown Pumping Station around 1979 and 1980"
16,Capital Projects,Charlestown Pumping Station Invoices (Eaton Drives,"Treatment Plant,Storage Room 211,1012","Correspondence, Folder, Invoices",10/27/2006,01/01/1980,Knepp,Folder with invoices and correspondance concerning problems with the drives and motors at the Charlestown pumping station
17,Capital Projects,36 Inch Force Main for Charlestown Pumping Station,"Treatment Plant,Storage Room 211,1012","Correspondence, Invoices",10/27/2006,01/01/1980,Lehman,Capital project folder with financial information.
18,Capital Projects,Charlestown PS Procurement (JT Seeley),"Treatment Plant,Storage Room 211,1012","Correspondence, Invoices",10/27/2006,01/01/1980,Lehman,Capital project folder that includes correspondance and invoices for the prepurchase project for the Charlestown Pumping Station Upgrade around 1998
19,Capital Projects,Charlestown Force Main Construction (Allan Myers),"Treatment Plant,Storage Room 211,1012","Correspondence, Invoices",10/27/2006,01/01/1980,Lehman,Capital Project folder for Allan Myers for the 36 inch Force main Installation Project
20,Capital Projects,36 inch Forcemain for Rights of way for Charlestown PS Upgrade,"Treatment Plant,Storage Room 211,1012","Correspondence, Rights of way",10/27/2006,01/01/1980,Fertich,Includes exhibit A and exhibits B for the 36 inch Force main project
21,Capital Projects,Charlestown PS Checmical Storage Feed System Project,"Treatment Plant,Storage Room 211,1012","Correspondence, Folder, Invoices",10/27/2006,01/01/1980,Lehman,Rettew was the engineer. File includes invoices from Rettew
